distance,name,class,address,rates,isOpen
"4.1 ק""מ",עירוני ה',בית ספר תיכון,"בן יהודה 227, תל אביב יפו",35 ביקורות78 ביקרו פה החודש,"
סגור
      "
"3.2 ק""מ",מקוה ישראל כללי,חטיבת ביניים,"מעלה נטר, מקווה ישראל",13 ביקורות78 ביקרו פה החודש,
"3.6 ק""מ",בית ליאור,מסגרת חינוך מיוחד,"החורטים 8, חולון",109 ביקורות,"
סגור
      "
"3.4 ק""מ","בי""ס נטעים","בי""ס יסודי",רמת גן,49 ביקורות78 ביקרו פה החודש,"
סגור
      "
"2.7 ק""מ",תלמה ילין,בית ספר תיכון,"בורוכוב 5 א, גבעתיים",104 ביקורות77 ביקרו פה החודש,"
סגור
      "
928 מ',אנוך,מסגרת חינוך מיוחד,"המערכה 9, תל אביב יפו",9 ביקורות,"
סגור
      "
"3 ק""מ","מוזות בי""ס תיכון לאומניות",בית ספר תיכון,"יפת 28, תל אביב יפו",8 ביקורות,"
סגור
      "
"1.4 ק""מ",הגליל,"בי""ס יסודי","גבעתי 4, תל אביב יפו",7 ביקורות,"
סגור
      "
"4.3 ק""מ","אמי""ת בר אילן גוש דן",בית ספר תיכון • כשר,"דרך זאב ז'בוטינסקי 99, רמת גן",26 ביקורות56 ביקרו פה החודש,"
סגור
      "
840 מ',שרשים מד,"בי""ס יסודי","דרך שלמה 156, תל אביב יפו",18 ביקורות,"
סגור
      "
"2.7 ק""מ","חמד""ע",בית ספר תיכון,"הפרדס 7, תל אביב יפו",4 ביקורות,"
סגור
      "
"4.9 ק""מ",תיכון עתידים,בית ספר תיכון,"ההסתדרות 20, חולון",5 ביקורות,"
סגור
      "
"4.5 ק""מ",תיכון מקיף,בית ספר תיכון,רמת גן,14 ביקורות,"
סגור
      "
"5.7 ק""מ",מדרשת פנימיות,פנימיות וכפרי נוער,"חיים לבנון 45, תל אביב יפו",17 ביקורות52 ביקרו פה החודש,
"2.7 ק""מ",תיכון שמעון בן צבי,בית ספר תיכון • כשר,"סמטת צביה לובטקין 8, גבעתיים",3 ביקורות,"
סגור
      "
"1.9 ק""מ",בית יעקב,בית ספר תיכון,"יצחק אלחנן 4, תל אביב יפו",3 ביקורות,"
סגור
      "
"6 ק""מ",קמפוס קרית שרת,בית ספר תיכון,"גבעת התחמושת 23, חולון",70 ביקורות77 ביקרו פה החודש,"
סגור
      "
"1.7 ק""מ",תיכון עירוני ט',בית ספר תיכון,תל אביב יפו,2 ביקורות54 ביקרו פה החודש,"
סגור
      "
"3.7 ק""מ",עירוני יא',בית ספר תיכון,תל אביב יפו,,"
סגור
      "
450 מ',"אמי""ת ראשית תל אביב",חטיבת ביניים,"התשעים ושלוש 2, תל אביב יפו",1 ביקורות63 ביקרו פה החודש,"
סגור
      "
"4.2 ק""מ",החשמונאים,"בי""ס יסודי","פיקוס 19, תל אביב יפו",1 ביקורות83 ביקרו פה החודש,"
סגור
      "
"2.5 ק""מ",תל חי,"בי""ס יסודי","מעפילי אגוז 74, תל אביב יפו",,"
סגור
      "
"2.1 ק""מ",עירוני תורני ב' ג',חטיבת ביניים,"צייטלין 22, תל אביב יפו",8 ביקורות,"
סגור
      "
"4.9 ק""מ",אהל שם,בית ספר תיכון,"רוקח 118, רמת גן",1 ביקורות,"
סגור
      "
"3.4 ק""מ",תיכון עירוני ז',בית ספר תיכון,"חידושי הרי""ם 10, תל אביב יפו",1 ביקורות,"
סגור
      "
