distance,name,class,address,isOpen,rates
"89 ק""מ",Homes,תיווך נכסים,באר שבע,"
סגור
      ",
"26 ק""מ",Hashmonaim Homes,תיווך נכסים,"יהלום 2, חשמונאים",,8 ביקורות
"51 ק""מ",Murciano Homes,דירת נופש,"יפו 97, ירושלים (מרכז כלל)",,
"89 ק""מ",dalia's homes,דירת נופש,"חומה ומגדל 24, חיפה",,
"3.7 ק""מ",תיווך אלפא Homes,תיווך נכסים,"דרך זאב ז'בוטינסקי 54, רמת גן","
סגור
      ",
"51 ק""מ",Noam Homes,,"אבן ספיר 24, ירושלים","
סגור
      ",17 ביקורות
"3.4 ק""מ",Homes השוואת ביטוחי דירה,ביטוח דירה ורכוש,"פנקס 16, תל אביב יפו",,
"32 ק""מ",Owl Homes VR,צלמי וידאו,גן יבנה,,
"24 ק""מ",אקסקלוסיב הומס Exclusive Homes,תיווך נכסים,"הדקל 19, תל מונד","
סגור
      ",26 ביקורות
"53 ק""מ",Jerusalem Holiday Homes,,"אשר 4, ירושלים",,21 ביקורות
"16 ק""מ",Luxury homes group avi zvulun,,"ורדים 1, לוד","
סגור
      ",1 ביקורות
"79 ק""מ",Ayelet Homes הבתים של איילת,תיווך נכסים,"כרמל 10, קרית טבעון","
סגור
      ",5 ביקורות
"9.4 ק""מ",Neot Shiran Israel's Finest Homes & Properties נאות שירן שיווק בתי יוקרה,תיווך נכסים,"יוניצמן, תל אביב יפו","
סגור
      ",23 ביקורות
"51 ק""מ",יוריקה נכסים,תיווך נכסים,"נסים בכר 18, ירושלים","
סגור
      ",
"26 ק""מ",דומיקון בית ישראלי חכם יותר,בית חכם,אבן יהודה,"
סגור
      ",
"88 ק""מ",רימקס WE,תיווך נכסים,"העצמאות 24, קרית אתא","
סגור
      ",
"109 ק""מ",בר און בתי נופש,אירוח ולינה • לא כשר,"החושל 27, בן עמי","
בתיאום מראש
      ",176 ביקורות
0 מ',בית אורי,דיור מוגן,תל אביב יפו,,
0 מ',נווה טל,דיור מוגן,תל אביב יפו,,
0 מ',אחוזת רן,דיור מוגן,תל אביב יפו,,
0 מ',משען מוקד ארצי,דיור מוגן,תל אביב יפו,,
64 מ',דיור מוגן גוש דן,דיור מוגן,"לה גווארדיה  7, תל אביב יפו",,
318 מ',מטב עמותה לשרותי טיפול ורווחה,שירותים סיעודיים,"יד חרוצים 12, תל אביב יפו","
סגור
      ",
333 מ',רעות דיור מוגן בית ג'ני ברויאר קהילה דתית לאומית כמיטב המסורת,דיור מוגן,"מרגולין 4, תל אביב יפו",,1 ביקורות
333 מ',בית אבות בית גני ברוייאר רעות,בתי אבות,"מרגולין 4, תל אביב יפו",,
