distance,name,class,address,reviews,rates,isOpen
919 מ',המגדלור,חנות ספרים,"מקווה ישראל 18, תל אביב יפו",""" חנות מקסימה עם כל ספר שאפשר לחשוב עליו""",687 ביקורות185 ביקרו פה החודש,"
סגור
      "
"1.8 ק""מ",סיפור פשוט,חנות ספרים,"שבזי 36, תל אביב יפו",""" השירות היה מצוין גם כן, זמינים גם במייל וגם בטלפון""",298 ביקורות218 ביקרו פה החודש,"
סגור
      "
"1.4 ק""מ",הלפר ספרים משומשים,חנות ספרים יד שניה,"אלנבי 87, תל אביב יפו",,501 ביקורות633 ביקרו פה החודש,"
סגור
      "
"2.2 ק""מ",האחים גרין,חנות ספרים יד שניה,"פרישמן 90, תל אביב יפו",,508 ביקורות432 ביקרו פה החודש,"
סגור
      "
"1.3 ק""מ",קדמת עדן,חנות ספרים יד שניה,"אלנבי 93, תל אביב יפו",,90 ביקורות253 ביקרו פה החודש,"
סגור
      "
"1.6 ק""מ",נמר נייר,חנות ספרים,"דרך שלמה 54, תל אביב יפו",,93 ביקורות289 ביקרו פה החודש,"
סגור
      "
"1.3 ק""מ",דותן ספרים,חנות ספרים,"עין ורד 6, תל אביב יפו",,107 ביקורות,"
סגור
      "
"2 ק""מ",צומת ספרים,רשת חנויות ספרים • ישיבה בחוץ,"דיזנגוף סנטר, תל אביב יפו","""צומת ספרים סניף דיזינגוף 163 ברמה גבוה מעל כולם""",202 ביקורות80 ביקרו פה החודש,
"3.8 ק""מ",פורת ספרים וקפה,חנות ספרים • כשר • ₪₪₪,"ביאליק 38, רמת גן","""מקום נעים, מקצועי, טעים ואיכותי שונה מיתר המקומות על ביאליק""",1000+ ביקורות216 ביקרו פה החודש,"
סגור
      "
"2.2 ק""מ",ליבררי דו פואייה,חנות ספרים,"שדרות מסריק 14, תל אביב יפו",,94 ביקורות108 ביקרו פה החודש,"
סגור
      "
796 מ',סיפור חוזר,רשת חנויות ספרים,"דרך מנחם בגין 55, תל אביב יפו",,262 ביקורות227 ביקרו פה החודש,"
סגור
      "
"2.1 ק""מ",טננבוים ספרים,חנות ספרים,"בוגרשוב 59, תל אביב יפו",,44 ביקורות188 ביקרו פה החודש,"
סגור
      "
"4.2 ק""מ",ספרי מדי,חנות ספרים,"סוקולוב 73, חולון","""שירות נהדר יחס חם ומקצועי , אפשרויות משלוח , הבנה מלאה עם הלקוח ומחיר טוב""",213 ביקורות139 ביקרו פה החודש,"
סגור
      "
"1.3 ק""מ",ישראדון,רשת חנויות ספרים,"אלנבי 95, תל אביב יפו",,200 ביקורות56 ביקרו פה החודש,"
סגור
      "
"2.3 ק""מ",תולעת ספרים,חנות ספרים • ₪₪₪,"כיכר רבין, תל אביב יפו",,728 ביקורות224 ביקרו פה החודש,"
סגור
      "
"1.6 ק""מ",הוצאת ספרים סיני,חנות ספרים,"רמב""ם 24, תל אביב יפו","""היה פשוט כיף לקנות""",38 ביקורות,"
סגור
      "
"2.5 ק""מ",סטימצקי,רשת חנויות ספרים,"דיזנגוף 109, תל אביב יפו","""סטימצקי דיזנגוף-פרישמן - שירות מעולה""",237 ביקורות112 ביקרו פה החודש,"
סגור
      "
"1.9 ק""מ",טלאו ספרים,חנות ספרים,"אלנבי 37, תל אביב יפו",,42 ביקורות145 ביקרו פה החודש,"
סגור
      "
"5.6 ק""מ",ספרייתי האחים גיטלר,חנות ספרי קודש,"שלמה המלך 2, בני ברק",,374 ביקורות453 ביקרו פה החודש,"
סגור
      "
"5.4 ק""מ",בוק שוק,חנות ספרים יד שניה,"ברודצקי 15, תל אביב יפו",,96 ביקורות248 ביקרו פה החודש,"
סגור
      "
"2.6 ק""מ",גולן,חנות ספרים,"וייצמן 39, גבעתיים","""שירות מצוין ואדיב מגוון ספרים וכלי כתיבה במחירים טובים מאוד""",74 ביקורות142 ביקרו פה החודש,"
סגור
      "
"5.4 ק""מ",נוסח תימן,חנות ספרי קודש,"ד""ר נתן בירנבוים 26, בני ברק",,510 ביקורות110 ביקרו פה החודש,"
סגור
      "
"1.4 ק""מ",מדף הספרים של פאני,חנות ספרים,"מונטיפיורי 26, תל אביב יפו",,35 ביקורות,"
סגור
      "
"1.7 ק""מ",צומת ספרים,רשת חנויות ספרים,"קניון עזריאלי, תל אביב יפו",,323 ביקורות,
"3.4 ק""מ",דורון ספרים,חנות ספרים,"אבן גבירול 147, תל אביב יפו","""כמו תמיד השירות אדיב, מהיר ויעיל""",490 ביקורות302 ביקרו פה החודש,"
סגור
      "
